,instance,score,cpu,type,provider,price,value
0,m5.large,0.0026695077833125847,[2],['General'],['aws'],0.096,0.027807372742839422
1,r5.xlarge,0.0019418938014101035,[4],['Memory'],['aws'],0.252,0.0077059277833734265
2,n1-highcpu-8,0.0005924635768811342,[8],['CPU'],['google'],0.2836,0.0020890817238403887
3,m5.2xlarge,0.002035943219012383,[8],['General'],['aws'],0.384,0.00530193546617808
4,n1-highcpu-2,0.000659266141012455,[2],['CPU'],['google'],0.0709,0.009298535134167207
5,n1-standard-2,0.0007138146099781067,[2],['General'],['google'],0.095,0.007513837999769544
6,m5.large,0.002634739728217423,[2],['General'],['aws'],0.096,0.027445205502264824
7,r5.xlarge,0.001961498133038311,[4],['Memory'],['aws'],0.252,0.007783722750152028
8,n1-highcpu-8,0.0005780659137799974,[8],['CPU'],['google'],0.2836,0.002038314223483771
9,c5.large,0.00260620006030454,[2],['CPU'],['aws'],0.085,0.030661177180053407
10,m5.2xlarge,0.0020101800293685764,[8],['General'],['aws'],0.384,0.005234843826480668
11,n1-standard-2,0.0005976725815072118,[2],['General'],['google'],0.095,0.00629129033165486
12,c5.2xlarge,0.0025957811326658294,[8],['CPU'],['aws'],0.34,0.007634650390193615
13,m5.large,0.0026716458628841507,[2],['General'],['aws'],0.096,0.027829644405043236
14,r5.xlarge,0.001971000140449437,[4],['Memory'],['aws'],0.252,0.007821429128767607
15,n1-highcpu-2,0.0006037215203426113,[2],['CPU'],['google'],0.0709,0.008515113121898607
16,n1-standard-8,0.0005721050793650777,[8],['General'],['google'],0.38,0.0015055396825396782
17,n1-highcpu-8,0.0006193946360153257,[8],['CPU'],['google'],0.2836,0.002184043145329075
18,c5.large,0.001988410347776516,[2],['CPU'],['aws'],0.085,0.02339306291501783
19,m5.large,0.002615762610340481,[2],['General'],['aws'],0.096,0.027247527191046676
20,r5.xlarge,0.0019918887979260415,[4],['Memory'],['aws'],0.252,0.007904320626690641
21,n1-standard-8,0.0005252877998979096,[8],['General'],['google'],0.38,0.0013823363155208146
22,n1-highcpu-2,0.0006298415047446897,[2],['CPU'],['google'],0.0709,0.00888351910782355
23,c5.2xlarge,0.002003653420729201,[8],['CPU'],['aws'],0.34,0.005893098296262355
24,n1-standard-2,0.0006361248302399279,[2],['General'],['google'],0.095,0.0066960508446308195
25,m5.large,0.002647114535345509,[2],['General'],['aws'],0.096,0.027574109743182387
26,r5.xlarge,0.0019414429192715495,[4],['Memory'],['aws'],0.252,0.007704138568537895
27,n1-highcpu-2,0.0007116435012095861,[2],['CPU'],['google'],0.0709,0.010037284925382032
28,n1-standard-8,0.0006256005750304092,[8],['General'],['google'],0.38,0.001646317302711603
29,m5.large,0.0026054679802955693,[2],['General'],['aws'],0.096,0.02714029146141218
30,r5.xlarge,0.002154707274826791,[4],['Memory'],['aws'],0.252,0.008550425693757108
31,n1-highcpu-2,0.0006997315223542743,[2],['CPU'],['google'],0.0709,0.009869273940116703
32,c5.2xlarge,0.0020397065539112117,[8],['CPU'],['aws'],0.34,0.0059991369232682695
33,n1-standard-8,0.0006062642497904423,[8],['General'],['google'],0.38,0.0015954322362906376
34,c5.large,0.002626161778471132,[2],['CPU'],['aws'],0.085,0.030896020923189785
35,m5.large,0.002592271463866589,[2],['General'],['aws'],0.096,0.027002827748610302
36,r5.xlarge,0.002199234479865761,[4],['Memory'],['aws'],0.252,0.008727120951848258
37,c5.2xlarge,0.0019750545781964256,[8],['CPU'],['aws'],0.34,0.005808984053518898
38,n1-highcpu-2,0.000611412091949197,[2],['CPU'],['google'],0.0709,0.008623583807463992
39,n1-standard-8,0.0005681734627126003,[8],['General'],['google'],0.38,0.0014951933229278955
40,c5.large,0.001997102849200839,[2],['CPU'],['aws'],0.085,0.02349532763765693
