,ID,Selector,Deployer,Interpreter,Concurrent_Jobs,Multiple_Providers,Jobs_completed,Best_instance,Best_CPU,Best_Provider,Best_Category,Best_JobID,Best_Result,Time,Cost
0,0,exact_match,vbench,vbench,3,True,11,c5.large,2,aws,CPU,20004,-8.030929,462,1.6991999999999998
1,1,exact_match,vbench,vbench,3,True,8,n1-highcpu-2,2,google,CPU,20000,-6.761013,324,1.1399
2,10,exact_match,vbench,vbench,3,True,6,c5.large,2,aws,CPU,20000,-8.185259,219,0.9629999999999999
3,100,exact_match,vbench,vbench,1,False,8,n1-highcpu-2,2,google,CPU,20009,-6.812758,1235,1.0903999999999998
4,101,exact_match,vbench,vbench,1,False,10,n1-highcpu-2,2,google,CPU,20005,-6.858453,1283,1.4448999999999999
5,102,exact_match,vbench,vbench,1,False,7,n1-highcpu-2,2,google,CPU,20004,-6.662758,843,1.0676999999999999
6,103,exact_match,vbench,vbench,1,False,9,n1-highcpu-2,2,google,CPU,20004,-6.807814,1136,1.2094999999999998
7,104,exact_match,vbench,vbench,1,False,9,n1-highcpu-2,2,google,CPU,20001,-6.879516,1144,1.3974
8,105,exact_match,vbench,vbench,1,False,8,n1-standard-2,2,google,General,20002,-5.21646,1017,1.2102
9,106,exact_match,vbench,vbench,1,False,6,n1-standard-2,2,google,General,20002,-5.188128,690,0.9967999999999999
10,107,exact_match,vbench,vbench,1,False,6,n1-highcpu-2,2,google,CPU,20001,-6.818877,736,0.6154
11,108,exact_match,vbench,vbench,1,False,12,n1-highcpu-2,2,google,CPU,20005,-6.785629,1560,1.6100999999999999
12,109,exact_match,vbench,vbench,1,False,11,n1-highcpu-2,2,google,CPU,20003,-6.792392,1362,1.5398999999999998
13,11,exact_match,vbench,vbench,3,True,6,c5.large,2,aws,CPU,20000,-8.024063,193,0.9629999999999999
14,12,exact_match,vbench,vbench,3,True,7,m5.large,2,aws,General,0,-6.33192,308,1.3329
15,13,exact_match,vbench,vbench,3,True,6,m5.large,2,aws,General,0,-6.319993,222,1.262
16,14,exact_match,vbench,vbench,3,True,6,c5.large,2,aws,CPU,20001,-8.050723,197,0.9388999999999998
17,15,exact_match,vbench,vbench,3,True,8,c5.large,2,aws,CPU,20002,-8.132601,233,1.9195999999999998
