,Job_number,vCPUs,Provider,Category,Score,Value
0,1,8.0,google,General,-0.51107922915,-1.3449453398684212
1,2,4.0,aws,Memory,-0.658254318711,-2.612120312345238
2,3,2.0,aws,General,-0.604380696451,-6.295632254697916
3,4,2.0,google,General,-0.479361784863,-5.045913524873685
4,5,2.0,google,Memory,-0.475725979288,-4.017955906148648
5,6,8.0,aws,CPU,-0.7493662433299999,-2.204018362735294
6,7,2.0,google,CPU,-0.470212398207,-6.63205075045134
7,8,2.0,aws,CPU,-0.682628990467,-8.030929299611763
8,9,2.0,aws,General,-0.610282547318,-6.357109867895834
9,10,2.0,google,CPU,-0.47855662319,-6.749740806629054
10,11,2.0,google,General,-0.491825305207,-5.177108475863158
