,Job_number,vCPUs,Provider,Category,Score,Value
0,1,2.0,google,General,-0.48634333173,-5.119403491894737
1,2,4.0,google,General,-0.50359073561,-2.650477555842105
2,3,8.0,google,CPU,-0.515171387544,-1.8165422691960509
3,4,2.0,google,General,-0.496686842791,-5.2282825556947365
4,5,2.0,google,CPU,-0.480260646501,-6.773774985909731
5,6,2.0,google,General,-0.48811890598900004,-5.138093747252632
6,7,4.0,google,Memory,-0.51780220623,-2.1866647222550673
7,8,2.0,google,General,-0.468752949623,-4.934241574978947
8,9,2.0,google,General,-0.4661073830010001,-4.906393505273685
9,10,2.0,google,General,-0.485983659439,-5.115617467778947
10,11,2.0,google,General,-0.485193326534,-5.107298174042105
11,12,2.0,google,General,-0.483914207317,-5.093833761231579
